Wall time,Step,Value
1693001820.889116,6144,0.0
1693001826.8437269,10240,0.17499999701976776
1693001832.5550156,12288,0.17499999701976776
1693001834.199619,14336,0.17499999701976776
1693001850.6372309,24576,0.07000000029802322
1693001855.6128523,26624,0.07000000029802322
1693001857.1168022,28672,0.07000000029802322
1693001865.9592052,34816,0.0560000017285347
1693001870.5346947,36864,0.0560000017285347
1693001871.9591832,38912,0.052000001072883606
1693001878.976743,43008,0.052000001072883606
1693001880.3914545,45056,0.0
1693001886.0606565,47104,0.0
1693001891.4575217,51200,0.0
1693001892.8503811,53248,0.0
1693001901.4105043,59392,0.0
1693001907.0488546,61440,0.0
1693001908.5534484,63488,0.0
1693001912.7125893,65536,0.0
1693001914.1854134,67584,0.0
1693001922.922149,73728,0.0
1693001927.7075691,75776,0.0
1693001933.571956,79872,0.0
1693001935.0783348,81920,0.0
1693001941.345983,83968,0.0
1693001944.2698174,86016,0.0
1693001945.7409344,88064,0.0
1693001967.7895453,102400,0.0
1693001972.1150317,104448,0.0
1693001973.5996542,106496,0.0
1693001978.6432023,108544,0.0
1693001980.0622194,110592,0.0
1693001981.6234884,112640,0.0
1693001987.7502892,114688,0.0
1693001989.2764401,116736,0.0
1693001993.264483,118784,0.0
1693002000.1713128,122880,0.0
1693002009.0695248,129024,0.0
1693002010.4459991,131072,0.0
1693002014.212093,133120,0.0
1693002015.6641004,135168,0.0
1693002026.103764,139264,0.0
1693002027.5579958,141312,0.0
1693002032.9275544,143360,0.0
1693002034.4022288,145408,0.0
1693002039.8391156,149504,0.0
1693002045.6681457,151552,0.0
1693002048.5341604,155648,0.0
1693002055.5088687,159744,0.0
1693002061.3367226,163840,0.0
1693002067.4486628,165888,0.0
1693002068.8202872,167936,0.0
1693002070.3621972,169984,0.0
1693002076.8819726,174080,0.0
1693002081.5788703,176128,0.0
1693002084.7919793,180224,0.0
1693002091.4610543,182272,0.0
1693002092.932893,184320,0.0020000000949949026
1693002098.7171738,188416,0.0020000000949949026
1693002103.5470386,190464,0.0020000000949949026
1693002117.9675317,200704,0.05999999865889549
1693002119.4425676,202752,0.2240000069141388
1693002127.7007337,208896,0.2240000069141388
1693002133.638908,210944,0.2240000069141388
1693002140.392327,217088,0.23000000417232513
1693002146.5645924,219136,0.23000000417232513
1693002149.5917091,223232,0.23000000417232513
1693002155.0649023,225280,0.23000000417232513
1693002156.5509768,227328,0.2280000001192093
1693002160.5971322,229376,0.2280000001192093
1693002162.0631762,231424,0.1720000058412552
1693002167.9411962,233472,0.1720000058412552
1693002169.3393877,235520,0.1720000058412552
1693002176.2343142,239616,0.00800000037997961
1693002177.8356748,241664,0.006000000052154064
1693002182.1912622,243712,0.006000000052154064
1693002183.6621811,245760,0.0
1693002194.2195892,251904,0.0
1693002199.0495808,253952,0.0
1693002213.5197089,262144,0.0
1693002218.1596153,264192,0.0
1693002224.3528209,268288,0.0
1693002225.8253598,270336,0.0
1693002230.8504584,272384,0.0
1693002232.2855532,274432,0.0
1693002233.7477522,276480,0.0
1693002241.7609372,280576,0.0
1693002247.5578656,284672,0.0
1693002252.7652318,286720,0.0
1693002254.2216392,288768,0.0
1693002255.6904378,290816,0.0
1693002261.6314025,292864,0.0
1693002263.0293477,294912,0.0
1693002268.8699732,299008,0.0
1693002274.3825269,301056,0.0
1693002275.7816164,303104,0.0
1693002277.309957,305152,0.0
1693002282.9718869,307200,0.0
1693002289.9507892,313344,0.0
1693002304.358843,321536,0.0
1693002310.3036528,325632,0.0
1693002311.8141074,327680,0.0
1693002330.1369684,331776,0.0
1693002332.1763318,333824,0.0
1693002338.4777286,337920,0.0
1693002342.9583669,339968,0.0
1693002344.3520153,342016,0.0
1693002355.3301296,346112,0.0
1693002361.6251602,350208,0.0
1693002368.0734956,354304,0.0
1693002369.537472,356352,0.0
1693002370.997047,358400,0.0
1693002388.9006734,362496,0.0
1693002393.308257,364544,0.0
1693002394.7832851,366592,0.0
1693002399.8903077,368640,0.0
1693002401.3974419,370688,0.0
1693002409.0454268,374784,0.0
1693002410.4882526,376832,0.0
1693002414.7626023,378880,0.0
1693002416.1362605,380928,0.0
1693002421.6389587,382976,0.0
1693002425.9847918,385024,0.0
1693002427.4334946,387072,0.0
1693002438.66157,393216,0.0
1693002440.1526082,395264,0.0
1693002446.1487472,397312,0.0
1693002447.4983273,399360,0.0
1693002455.5519652,405504,0.0
1693002467.2257805,411648,0.0
1693002470.3799713,413696,0.0
1693002471.829208,415744,0.0
1693002478.6947353,419840,0.0
1693002483.2539177,421888,0.0
1693002484.7443585,423936,0.0
1693002490.8070455,425984,0.0
1693002495.3193347,430080,0.0
1693002500.0312762,432128,0.0
1693002501.432685,434176,0.0
1693002507.963018,438272,0.0
1693002518.7525105,442368,0.0
1693002524.698153,446464,0.0
1693002526.1954455,448512,0.0
1693002532.9086914,452608,0.0
1693002534.3923886,454656,0.0
1693002540.8767877,456704,0.0
1693002542.4583738,458752,0.0
1693002546.8278377,460800,0.0
1693002553.7136226,464896,0.0
1693002555.0637603,466944,0.0
1693002556.5916538,468992,0.0
1693002568.422696,475136,0.0
1693002575.492362,479232,0.0
1693002576.9093838,481280,0.0
1693002578.5852962,483328,0.0
1693002584.212421,485376,0.0
1693002585.7197065,487424,0.0
1693002589.689977,489472,0.0
1693002591.108473,491520,0.0
1693002597.221195,493568,0.0
1693002598.5901394,495616,0.0
1693002605.3234067,499712,0.0
1693002606.7483354,501760,0.0
1693002612.2920983,505856,0.0
1693002619.9081311,507904,0.0
1693002623.367465,509952,0.0
1693002624.869768,512000,0.0
1693002630.1275585,514048,0.0
1693002631.555479,516096,0.0
1693002643.888857,522240,0.0
1693002648.413806,524288,0.0
1693002649.9924743,526336,0.0
1693002654.8205118,528384,0.0
1693002661.413824,532480,0.0
1693002662.829452,534528,0.0
1693002664.5519884,536576,0.0
1693002670.6433625,538624,0.0
1693002676.498857,542720,0.0
1693002677.9038708,544768,0.0
1693002694.3415685,555008,0.0
1693002699.9336922,559104,0.0
1693002705.489068,561152,0.0
1693002714.458107,567296,0.0
1693002715.9750366,569344,0.0
1693002719.891333,571392,0.0
1693002726.9795864,575488,0.0
1693002728.4622467,577536,0.0
1693002730.1112494,579584,0.0
1693002735.6721537,581632,0.0
1693002737.0067775,583680,0.0
1693002741.0665696,585728,0.0
1693002742.5216696,587776,0.0
1693002748.911627,589824,0.0
1693002753.18336,593920,0.0
1693002758.3499231,595968,0.0
1693002764.215343,600064,0.0
1693002765.6787539,602112,0.0
1693002781.5145237,610304,0.0
1693002783.012395,612352,0.0
1693002787.7761362,614400,0.0
1693002789.253635,616448,0.0
1693002790.7413204,618496,0.0
1693002796.7175934,620544,0.0
1693002809.281204,628736,0.0
1693002810.5433958,630784,0.0
1693002811.9010384,632832,0.0
1693002818.0988657,634880,0.0
1693002819.5621781,636928,0.0
1693002823.8649578,638976,0.0
1693002830.7564332,643072,0.0
1693002832.1470838,645120,0.0
1693002833.610001,647168,0.0
1693002839.4015696,649216,0.0
1693002840.8052125,651264,0.0
1693002844.720264,653312,0.0
1693002851.5301754,657408,0.0
1693002852.8412359,659456,0.0
